,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
269,74141,https://dadosabertos.camara.leg.br/api/v2/deputados/74141,Josias Gomes,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,56,https://www.camara.leg.br/internet/deputado/bandep/74141.jpg,
270,204563,https://dadosabertos.camara.leg.br/api/v2/deputados/204563,Josimar Maranhãozinho,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MA,56,https://www.camara.leg.br/internet/deputado/bandep/204563.jpg,
271,215043,https://dadosabertos.camara.leg.br/api/v2/deputados/215043,Josivaldo JP,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,MA,56,https://www.camara.leg.br/internet/deputado/bandep/215043.jpg,
272,204474,https://dadosabertos.camara.leg.br/api/v2/deputados/204474,Juarez Costa,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MT,56,https://www.camara.leg.br/internet/deputado/bandep/204474.jpg,
273,204420,https://dadosabertos.camara.leg.br/api/v2/deputados/204420,Julian Lemos,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PB,56,https://www.camara.leg.br/internet/deputado/bandep/204420.jpg,
274,74317,https://dadosabertos.camara.leg.br/api/v2/deputados/74317,Júlio Cesar,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PI,56,https://www.camara.leg.br/internet/deputado/bandep/74317.jpg,
275,204372,https://dadosabertos.camara.leg.br/api/v2/deputados/204372,Julio Cesar Ribeiro,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,DF,56,https://www.camara.leg.br/internet/deputado/bandep/204372.jpg,
276,73586,https://dadosabertos.camara.leg.br/api/v2/deputados/73586,Júlio Delgado,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MG,56,https://www.camara.leg.br/internet/deputado/bandep/73586.jpg,
277,204457,https://dadosabertos.camara.leg.br/api/v2/deputados/204457,Juninho do Pneu,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/204457.jpg,
278,204520,https://dadosabertos.camara.leg.br/api/v2/deputados/204520,Junio Amaral,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204520.jpg,
279,204497,https://dadosabertos.camara.leg.br/api/v2/deputados/204497,Júnior Ferrari,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PA,56,https://www.camara.leg.br/internet/deputado/bandep/204497.jpg,
280,204574,https://dadosabertos.camara.leg.br/api/v2/deputados/204574,Junior Lourenço,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MA,56,https://www.camara.leg.br/internet/deputado/bandep/204574.jpg,
281,204550,https://dadosabertos.camara.leg.br/api/v2/deputados/204550,Júnior Mano,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,CE,56,https://www.camara.leg.br/internet/deputado/bandep/204550.jpg,
282,178886,https://dadosabertos.camara.leg.br/api/v2/deputados/178886,Juscelino Filho,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,MA,56,https://www.camara.leg.br/internet/deputado/bandep/178886.jpg,
283,204536,https://dadosabertos.camara.leg.br/api/v2/deputados/204536,Kim Kataguiri,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204536.jpg,
284,151208,https://dadosabertos.camara.leg.br/api/v2/deputados/151208,Laercio Oliveira,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SE,56,https://www.camara.leg.br/internet/deputado/bandep/151208.jpg,
285,98057,https://dadosabertos.camara.leg.br/api/v2/deputados/98057,Lafayette de Andrada,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MG,56,https://www.camara.leg.br/internet/deputado/bandep/98057.jpg,
286,160534,https://dadosabertos.camara.leg.br/api/v2/deputados/160534,Lauriete,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,ES,56,https://www.camara.leg.br/internet/deputado/bandep/160534.jpg,
287,141480,https://dadosabertos.camara.leg.br/api/v2/deputados/141480,Lázaro Botelho,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,TO,56,https://www.camara.leg.br/internet/deputado/bandep/141480.jpg,
288,178832,https://dadosabertos.camara.leg.br/api/v2/deputados/178832,Leandre,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PR,56,https://www.camara.leg.br/internet/deputado/bandep/178832.jpg,
289,204375,https://dadosabertos.camara.leg.br/api/v2/deputados/204375,Leda Sadala,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,AP,56,https://www.camara.leg.br/internet/deputado/bandep/204375.jpg,
290,178825,https://dadosabertos.camara.leg.br/api/v2/deputados/178825,Leo de Brito,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AC,56,https://www.camara.leg.br/internet/deputado/bandep/178825.jpg,
291,204359,https://dadosabertos.camara.leg.br/api/v2/deputados/204359,Léo Moraes,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,RO,56,https://www.camara.leg.br/internet/deputado/bandep/204359.jpg,
292,204547,https://dadosabertos.camara.leg.br/api/v2/deputados/204547,Léo Motta,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204547.jpg,
293,74156,https://dadosabertos.camara.leg.br/api/v2/deputados/74156,Leonardo Monteiro,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,MG,56,https://www.camara.leg.br/internet/deputado/bandep/74156.jpg,
294,74299,https://dadosabertos.camara.leg.br/api/v2/deputados/74299,Leônidas Cristino,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,56,https://www.camara.leg.br/internet/deputado/bandep/74299.jpg,
295,92102,https://dadosabertos.camara.leg.br/api/v2/deputados/92102,Leur Lomanto Júnior,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,BA,56,https://www.camara.leg.br/internet/deputado/bandep/92102.jpg,
296,139285,https://dadosabertos.camara.leg.br/api/v2/deputados/139285,Lídice da Mata,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,BA,56,https://www.camara.leg.br/internet/deputado/bandep/139285.jpg,
297,74585,https://dadosabertos.camara.leg.br/api/v2/deputados/74585,Lincoln Portela,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MG,56,https://www.camara.leg.br/internet/deputado/bandep/74585.jpg,
298,204405,https://dadosabertos.camara.leg.br/api/v2/deputados/204405,Liziane Bayer,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RS,56,https://www.camara.leg.br/internet/deputado/bandep/204405.jpg,
299,204382,https://dadosabertos.camara.leg.br/api/v2/deputados/204382,Loester Trutis,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MS,56,https://www.camara.leg.br/internet/deputado/bandep/204382.jpg,
300,196358,https://dadosabertos.camara.leg.br/api/v2/deputados/196358,Lourival Gomes,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/196358.jpg,
301,219592,https://dadosabertos.camara.leg.br/api/v2/deputados/219592,Lucas Follador,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,RO,56,https://www.camara.leg.br/internet/deputado/bandep/219592.jpg,
302,204523,https://dadosabertos.camara.leg.br/api/v2/deputados/204523,Lucas Gonzalez,NOVO,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204523.jpg,
